adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability
Tamwe,Urban,16.80945538,96.17881381,0,0.0479192223225324,0.0019167688929012,145.9578207960682,0.0678250393382897,0.6420747717227053,0.9609195476677344,0.0,0.6899014881144596,0.3100985118855404,4.766483811857183
Pazundaung,Urban,16.77798594,96.17457491,0,0.0318222800276511,0.001272891201106,145.44902307309366,0.0686170384170594,0.6187945837756839,0.9985774212295662,0.0,0.6757620093937662,0.3242379906062338,4.93994333115987
Botahtaung,Urban,16.77308675,96.17399623,0,0.0589092075105902,0.0023563683004236,145.3846208389723,0.0687393732608845,0.615847840803274,1.0,0.0,0.6734706646827829,0.326529335317217,5.039322127783672
Dagon Myothit (South),Urban,16.91666975,96.27398777,0,0.7859597054292853,0.0314383882171714,145.48370192002847,0.0660552793406177,0.6203813245136505,0.8767712197042125,0.0,0.6588398087922348,0.3411601912077652,7.003706161146763
Dagon Myothit (North),Urban,16.88624791,96.17984169,0,0.0899039350541107,0.0035961574021644,147.6795366115084,0.0658088486934969,0.7208523801217355,0.8650539659853692,0.0,0.7424826180012805,0.2575173819987195,4.078530174110659
Dagon Myothit (East),Shan Te Gyi (East),17.00595459,96.28308528,1,1.84797302087322,0.0739189208349288,146.5542383272701,0.0643520784033837,0.6693640295049638,0.7957876336571368,0.0,0.6883275701277897,0.3116724298722103,34.11022169817888
Dagon Myothit (East),Ma Lit (East),16.98255548,96.2742799,1,2.1624943320193237,0.0864997732807729,146.80737725770476,0.0648878743300186,0.6809464749663434,0.8212635916487856,0.0,0.7019940424687098,0.2980059575312902,34.660075759815726
Dagon Myothit (East),Lay Daunt Kan (East),16.98305622,96.29582444,1,0.6565217423511409,0.0262608696940456,145.92348869677863,0.064954659296517,0.6405038965241994,0.8244390749184569,0.0,0.668094173283338,0.331905826716662,31.55423958239267
Dagon Myothit (East),Urban,16.92230152,96.22858784,0,1.5560483441897537,0.0622419337675901,147.16583976996927,0.0652386165627581,0.6973480315784525,0.8379406396496739,0.0,0.7184369227891357,0.2815630772108642,7.957962184218373
Dagon Myothit (Seikkan),Urban,16.87822373,96.29035613,0,1.4707487274122022,0.058829949096488,144.00330698588436,0.0675531753004215,0.5526454232969363,0.947992990253106,0.0,0.6119475583403617,0.3880524416596382,9.35058357068386
Dagon Myothit (Seikkan),Urban (unnamed),16.80561843,96.25601972,0,1.071397648902688,0.0428559059561075,143.26606889438358,0.0689468010674265,0.5189128797794407,1.0,0.0,0.5910759478125246,0.4089240521874754,8.70521514017858
Mingalartaungnyunt,Urban,16.793927,96.18401195,0,0.0957391774661109,0.0038295670986444,145.4590243698951,0.0683398948683068,0.6192521960226304,0.9853998342889194,0.0,0.6741743417625737,0.3258256582374262,5.11715889948006
Dala,Rakhine Chaung (South),16.64610237,96.16728029,1,3.632721830054596,0.1453088732021838,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,39.219507382727066
