candidate_id,adm3_name,adm4_name,adm4_pcode,lat,lon,spatial_group,gap_score,population_score,is_rural,safety_score,elevation_score,nearest_tower_km,population_2020,earthquake_score,cyclone_score,flood_score,elevation_m,label_suitability_score,optimal_site,label_source
30,Hmawbi,Yin Taik Pin,MMR013003033,17.060312153263297,96.08627609339464,Hmawbi,0.0716899709622874,0.6154731738285766,1,0.2596978056159611,0.6486486486486487,1.7922492740571854,3049.6069498062134,0.8338811803120763,0.2100212741251608,0.0,25.0,42.623436,0,dashboard_rule_top_quartile_v1
31,Hmawbi,Thar Yar Kone,MMR013003034,17.04541786547727,96.06037935321628,Hmawbi,0.0446773160284322,0.6089106904618841,1,0.2552810629252863,0.1891891891891892,1.1169329007108073,2799.4897224903107,0.8387961048843053,0.2116149861536941,0.0,8.0,35.363868,0,dashboard_rule_top_quartile_v1
32,Hmawbi,Thea Kone,MMR013003035,17.024429411071804,96.06430570017056,Hmawbi,0.087836071258396,0.6195116738084928,1,0.2700472348357529,0.24324324324324326,2.195901781459901,3214.5070610046387,0.8176244832816483,0.233146362498974,0.0,10.0,38.162691,0,dashboard_rule_top_quartile_v1
33,Hmawbi,Leik Poke Taw Ywar Gyi,MMR013003036,17.050685344725895,96.07116795843228,Hmawbi,0.0332460755679436,0.717474137517924,1,0.2576059122604076,0.21621621621621623,0.8311518891985908,11529.433434963226,0.8360201105084007,0.2118466253830118,0.0,9.0,38.121391,0,dashboard_rule_top_quartile_v1
34,Hmawbi,Ah Hta Yu,MMR013003037,17.081721743510332,96.1546754037828,Hmawbi,0.0315057682636894,0.6958850855072014,1,0.2886019182898267,0.16216216216216217,0.7876442065922352,8701.083636522293,0.7977819142118316,0.221889697534109,0.0,7.0,37.054577,0,dashboard_rule_top_quartile_v1
35,Hmawbi,In Hlyat,MMR013003038,17.084748087287743,96.07228079213972,Hmawbi,0.0662869697801294,0.64309855546256,1,0.2364004543263022,0.4864864864864865,1.657174244503236,4372.027277946472,0.8664531824315199,0.1807622707127057,0.0,19.0,40.814932,0,dashboard_rule_top_quartile_v1
36,Hmawbi,Sat Thwar Taw,MMR013003039,17.113449756309336,96.08062126151704,Hmawbi,0.0334294476505569,0.7632128366544851,1,0.2220505380078983,0.4864864864864865,0.835736191263924,20929.843145608906,0.887309911099073,0.1582402503859309,0.0,19.0,42.537837,0,dashboard_rule_top_quartile_v1
37,Hmawbi,Urban,MMR013003701,17.09645734378486,96.0376924346538,Hmawbi,0.0095136999370669,0.7790825636195974,0,0.2114340111910879,0.32432432432432434,0.2378424984266744,25740.284470319748,0.9005635051169614,0.153913396396633,0.0,13.0,26.765042,0,dashboard_rule_top_quartile_v1
38,Thanlyin,Win Kha Nee,MMR013023001,16.959431137636134,96.38391591427175,Thanlyin,0.2799896262949116,0.6394818699684127,1,0.5322408900982968,0.16216216216216217,6.999740657372791,4170.641679644585,0.4705536702319966,0.4519232680300407,0.0,7.0,47.425070,1,dashboard_rule_top_quartile_v1
39,Thanlyin,Hpar Ku (East),MMR013023002,16.928103071387177,96.3976424084987,Thanlyin,0.2689388358706073,0.6375351909986676,1,0.5567320891098655,0.10810810810810811,6.723470896765182,4066.11300098896,0.4347151220850407,0.4917337141189992,0.0,5.0,46.449779,1,dashboard_rule_top_quartile_v1
