tower_id,adm3_name,lat_r,lon_r,lat,lon,cell_count,radios,networks,max_range_m,nearest_other_site_km,isolation_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,historical_hazard_score,legacy_score,analysis_area,adm2_name,adm2_pcode,estimated_population_nearest,estimated_population_primary_5km,estimated_people_per_cell,flood_frequency,flood_count,flood_history_score,historical_flood_exposed_population_assigned
1544,Dagon Myothit (North),16.89217,96.19698,16.892166137695,96.196975708008,4,"GSM, UMTS",MPT,1000,0.0528197510587888,0.160303074361369,147.25786395151903,0.0658997033958316,0.7015586247973542,0.8693739140569409,0.0,0.7267309181862922,0.55,Yangon City,Yangon (East),MMR013D002,552.8849411010742,552.8849411010742,138.22123527526855,0.0,0.0,0.0,0.0
1545,Dagon Myothit (North),16.8923,96.18089,16.892302,96.180893,1,UMTS,MPT,1000,0.044838430362717,0.1360637573877088,147.76185886892227,0.0656864608369854,0.7246190589771629,0.8592346834261367,0.0,0.744811402644509,0.55,Yangon City,Yangon (East),MMR013D002,580.8142395019531,580.8142395019531,580.8142395019531,0.0,0.0,0.0,0.0
1546,Dagon Myothit (North),16.89267,96.19176,16.89267,96.191763,1,UMTS,MPT,1000,0.0634778423893723,0.1926717591860973,147.4337437926157,0.0658187147473085,0.7096060581327185,0.8655230758832851,0.0,0.7329936107953035,0.55,Yangon City,Yangon (East),MMR013D002,238.2965850830078,238.2965850830078,238.2965850830078,0.0,0.0,0.0,0.0
1547,Dagon Myothit (North),16.89314,96.19231,16.893143,96.192314,1,UMTS,MPT,1000,0.0725712629529882,0.2202885298697723,147.42800258992983,0.0658136372819002,0.709343367732322,0.8652816531903997,0.0,0.7327341105510335,0.55,Yangon City,Yangon (East),MMR013D002,223.85903930664062,223.85903930664062,223.85903930664062,0.0,0.0,0.0,0.0
1548,Dagon Myothit (North),16.89354,96.18187,16.893539428711,96.181869506836,3,UMTS,Ooredoo,1000,0.1461135051338834,0.4436367434121422,147.7620184435212,0.065667234750036,0.7246263603593962,0.858320523838284,0.0,0.7446804848812294,0.55,Yangon City,Yangon (East),MMR013D002,759.7932434082031,759.7932434082031,253.26441446940103,0.0,0.0,0.0,0.0
1549,Dagon Myothit (North),16.89354,96.18324,16.893539428711,96.183242797852,5,UMTS,"MPT, Ooredoo, Telenor",1000,0.1461135050269489,0.4436367430873815,147.71966946876938,0.065685144190859,0.7226886706900664,0.8591720797000935,0.0,0.7431611820415704,0.55,Yangon City,Yangon (East),MMR013D002,511.29956817626953,511.29956817626953,102.25991363525391,0.0,0.0,0.0,0.0
1550,Dagon Myothit (North),16.89354,96.18462,16.893539428711,96.184616088867,1,UMTS,MPT,1000,0.1461135050269489,0.4436367430873815,147.67722904953072,0.0657030505055197,0.7207467969516185,0.8600234869195286,0.0,0.741638300446805,0.55,Yangon City,Yangon (East),MMR013D002,1542.2953796386719,1542.2953796386719,1542.2953796386719,0.0,0.0,0.0,0.0
1551,Dagon Myothit (North),16.89354,96.19286,16.893539428711,96.192855834961,2,UMTS,MPT,1000,0.0725712629529882,0.2202885298697723,147.42067586301306,0.0658104222889396,0.7090081312091281,0.8651287871055026,0.0,0.7324262295935843,0.55,Yangon City,Yangon (East),MMR013D002,214.4288101196289,214.4288101196289,107.21440505981445,0.0,0.0,0.0,0.0
1552,Dagon Myothit (North),16.89419,96.19397,16.894194,96.19397,2,UMTS,MPT,1000,0.0616662419804205,0.1871699182985602,147.40166389574588,0.0658079661348491,0.7081382331116388,0.8650120021966999,0.0,0.7316692984743979,0.55,Yangon City,Yangon (East),MMR013D002,180.85357284545898,180.85357284545898,90.42678642272949,0.0,0.0,0.0,0.0
1553,Dagon Myothit (North),16.89457,96.19354,16.894569,96.193543,1,UMTS,MPT,1000,0.034533416250959,0.1047673701123701,147.42420050084485,0.0657926907913678,0.7091694020392912,0.8642856920672403,0.0,0.7324368455434835,0.55,Yangon City,Yangon (East),MMR013D002,140.9164581298828,140.9164581298828,140.9164581298828,0.0,0.0,0.0,0.0
