time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
998719990800,"131 km E of Taunggyi, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,98.301,20.757,33.0,2001-08-25 06:13:10.800000+00:00
1000846483340,"111 km WSW of Myanaung, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,94.349,17.89,33.0,2001-09-18 20:54:43.340000+00:00
1002448890270,"29 km SSW of Chauk, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,94.674,20.673,86.0,2001-10-07 10:01:30.270000+00:00
1003006489340,"148 km SSW of Sittwe, Myanmar",reviewed,0,416,earthquake,5.2, Myanmar,92.375,18.896,10.0,2001-10-13 20:54:49.340000+00:00
1003588822040,"152 km SSW of Sittwe, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,92.397,18.849,33.0,2001-10-20 14:40:22.040000+00:00
1004207181710,"129 km SSW of Sittwe, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,92.428,19.068,10.0,2001-10-27 18:26:21.710000+00:00
1006513659440,"178 km SSW of Sittwe, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,92.2,18.679,10.0,2001-11-23 11:07:39.440000+00:00
1006515130510,"171 km SSW of Sittwe, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,92.201,18.748,10.0,2001-11-23 11:32:10.510000+00:00
1006578854790,"171 km SSW of Sittwe, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,92.207,18.738,10.0,2001-11-24 05:14:14.790000+00:00
1012711115720,"164 km WSW of Pyay, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,93.726,18.422,33.0,2002-02-03 04:38:35.720000+00:00
1029704839590,"68 km ENE of Kyaikto, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,97.571,17.616,33.0,2002-08-18 21:07:19.590000+00:00
1036305922000,"293 km WSW of Dawei, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.63,13.199,33.0,2002-11-03 06:45:22+00:00
1036305926260,"279 km WSW of Dawei, Myanmar",reviewed,0,369,earthquake,4.9, Myanmar,95.774,13.191,33.0,2002-11-03 06:45:26.260000+00:00
1036307072080,"277 km WSW of Dawei, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,95.797,13.179,33.0,2002-11-03 07:04:32.080000+00:00
1036313100040,"285 km WSW of Dawei, Myanmar",reviewed,0,449,earthquake,5.4, Myanmar,95.698,13.25,33.0,2002-11-03 08:45:00.040000+00:00
1036314763240,"260 km WSW of Dawei, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.923,13.294,33.0,2002-11-03 09:12:43.240000+00:00
1036965241490,"114 km WNW of Pathein, Myanmar",reviewed,0,385,earthquake,5.0, Myanmar,93.756,17.212,32.0,2002-11-10 21:54:01.490000+00:00
1037434775840,"111 km WNW of Pathein, Myanmar",reviewed,0,211,earthquake,3.7, Myanmar,93.77,17.18,33.0,2002-11-16 08:19:35.840000+00:00
1037465748890,"37 km SE of Tharyarwady, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,96.031,17.41,33.0,2002-11-16 16:55:48.890000+00:00
1037468317340,"113 km WNW of Pathein, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,93.765,17.22,20.9,2002-11-16 17:38:37.340000+00:00
1037469185960,"108 km WNW of Pathein, Myanmar",reviewed,0,369,earthquake,4.9, Myanmar,93.763,17.095,25.1,2002-11-16 17:53:05.960000+00:00
1039001453780,"70 km W of Thayetmyo, Myanmar",reviewed,0,482,earthquake,5.6, Myanmar,94.513,19.379,53.5,2002-12-04 11:30:53.780000+00:00
1039151081750,"55 km SW of Nay Pyi Taw, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,95.77,19.381,33.0,2002-12-06 05:04:41.750000+00:00
1039421149340,"47 km WSW of Chauk, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,94.411,20.699,33.0,2002-12-09 08:05:49.340000+00:00
1042771983930,"34 km WSW of Taungdwingyi, Myanmar",reviewed,0,385,earthquake,5.0, Myanmar,95.238,19.888,101.8,2003-01-17 02:53:03.930000+00:00
1043544839100,"281 km WSW of Dawei, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,95.866,12.94,20.4,2003-01-26 01:33:59.100000+00:00
1043579651270,"294 km WSW of Dawei, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,95.742,12.924,33.0,2003-01-26 11:14:11.270000+00:00
1046564930220,"35 km W of Yenangyaung, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,94.532,20.498,100.0,2003-03-02 00:28:50.220000+00:00
1046564930220,"35 km W of Yenangyaung, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,94.532,20.498,100.0,2003-03-02 00:28:50.220000+00:00
1049030329900,"18 km E of Magway, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.109,20.172,98.3,2003-03-30 13:18:49.900000+00:00
1051510510810,"26 km SSW of Pyay, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.161,18.589,100.0,2003-04-28 06:15:10.810000+00:00
1051562432260,"27 km E of Kyaiklat, Myanmar",reviewed,0,234,earthquake,3.9, Myanmar,95.978,16.408,33.0,2003-04-28 20:40:32.260000+00:00
1057318538350,"3 km WNW of Pathein, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,94.706,16.793,33.0,2003-07-04 11:35:38.350000+00:00
1057932873990,"286 km W of Myeik, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.967,12.429,33.0,2003-07-11 14:14:33.990000+00:00
1062764672690,"74 km SE of Sittwe, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,93.45,19.721,33.0,2003-09-05 12:24:32.690000+00:00
1064168173410,"16 km SE of Taungdwingyi, Myanmar",reviewed,0,670,earthquake,6.6, Myanmar,95.672,19.917,10.0,2003-09-21 18:16:13.410000+00:00
1064168781870,"35 km SSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.379,19.731,10.0,2003-09-21 18:26:21.870000+00:00
1064168861530,"30 km WSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.279,19.906,10.0,2003-09-21 18:27:41.530000+00:00
1064169076670,"19 km S of Taungdwingyi, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.567,19.831,10.0,2003-09-21 18:31:16.670000+00:00
1064169407590,"15 km WNW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.399,20.047,10.0,2003-09-21 18:36:47.590000+00:00
1064169702080,"29 km S of Taungdwingyi, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,95.566,19.741,10.0,2003-09-21 18:41:42.080000+00:00
1064169913510,"15 km N of Myaydo, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.203,19.51,10.0,2003-09-21 18:45:13.510000+00:00
1064170520740,"29 km SW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.357,19.81,10.0,2003-09-21 18:55:20.740000+00:00
1064171676590,"17 km SW of Taungdwingyi, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.445,19.879,10.0,2003-09-21 19:14:36.590000+00:00
1064171881480,"21 km WSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.365,19.908,10.0,2003-09-21 19:18:01.480000+00:00
1064172554410,"37 km SE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.765,19.734,10.0,2003-09-21 19:29:14.410000+00:00
1064172984580,"9 km S of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.538,19.917,10.0,2003-09-21 19:36:24.580000+00:00
1064173608830,"39 km S of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.531,19.648,10.0,2003-09-21 19:46:48.830000+00:00
1064173856890,"28 km N of Myaydo, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.263,19.622,10.0,2003-09-21 19:50:56.890000+00:00
1064174594150,"36 km NNW of Myaydo, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.141,19.689,10.0,2003-09-21 20:03:14.150000+00:00
1064174871500,"26 km E of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.8,20.014,10.0,2003-09-21 20:07:51.500000+00:00
1064175303710,"33 km ESE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.815,19.843,10.0,2003-09-21 20:15:03.710000+00:00
1064177004760,"30 km S of Taungdwingyi, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.559,19.731,10.0,2003-09-21 20:43:24.760000+00:00
1064186677560,"30 km SSE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.613,19.737,10.0,2003-09-21 23:24:37.560000+00:00
1064191815980,"39 km SW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.317,19.726,10.0,2003-09-22 00:50:15.980000+00:00
1064201769280,"34 km S of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.591,19.696,10.0,2003-09-22 03:36:09.280000+00:00
1064204947990,"32 km SSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.407,19.745,10.0,2003-09-22 04:29:07.990000+00:00
1064216294150,"13 km SE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.643,19.921,10.0,2003-09-22 07:38:14.150000+00:00
