yangon_tower_id,distance_to_grouped_site_m,radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
2490,0.0,UMTS,414,1,351,2042105,96.074753,16.876717,1000,0,MPT,Hlaingtharya (East)
2493,0.0,UMTS,414,1,351,2042092,96.062393188477,16.877059936523,1000,0,MPT,Hlaingtharya (East)
1606,0.0,UMTS,414,1,7002,591655,96.267013549805,16.82487487793,1000,0,MPT,Dagon Myothit (Seikkan)
5568,0.0,UMTS,414,1,351,2042194,96.157150268555,16.926498413086,1000,0,MPT,Mingaladon
3366,0.0,UMTS,414,1,351,2042727,96.107711791992,16.888046264648,1000,0,MPT,Insein
3365,0.0,UMTS,414,1,351,2042751,96.106338500977,16.888046264648,1000,0,MPT,Insein
3363,0.0,UMTS,414,1,351,2042174,96.104965209961,16.888046264648,1000,0,MPT,Insein
3358,0.0,UMTS,414,1,351,2043043,96.103592,16.88736,1000,0,MPT,Insein
3362,0.0,UMTS,414,1,351,2043037,96.103591918945,16.888046264648,1000,0,MPT,Insein
2506,0.0,UMTS,414,1,351,2042100,96.082992553711,16.878433227539,1000,0,MPT,Hlaingtharya (East)
2496,0.0,UMTS,414,1,351,2042090,96.069259643555,16.877059936523,1000,0,MPT,Hlaingtharya (East)
3496,0.0,UMTS,414,1,351,2041725,96.095352172852,16.899032592773,1000,0,MPT,Insein
3496,0.0,UMTS,414,1,351,2042175,96.095352172852,16.899032592773,1000,0,MPT,Insein
3496,0.0,UMTS,414,1,351,2041719,96.095352172852,16.899032592773,1000,0,MPT,Insein
3496,0.0,UMTS,414,1,351,2041722,96.095352172852,16.899032592773,1000,0,MPT,Insein
5633,0.049,UMTS,414,1,351,2042193,96.159897,16.931992,1000,0,MPT,Mingaladon
5644,0.0,UMTS,414,1,351,2042190,96.159622,16.93309,1000,0,MPT,Mingaladon
5642,0.0,UMTS,414,1,351,2042187,96.159439,16.932907,1000,0,MPT,Mingaladon
1959,0.0,UMTS,414,1,351,2041814,96.115951538086,16.839981079102,1000,0,MPT,Hlaing
1959,0.0,UMTS,414,1,351,2041811,96.115951538086,16.839981079102,1000,0,MPT,Hlaing
7410,0.0,UMTS,414,1,7001,133719,96.170883178711,16.801528930664,1000,0,MPT,Tamwe
7410,0.0,UMTS,414,1,7001,133716,96.170883178711,16.801528930664,1000,0,MPT,Tamwe
8434,0.0,UMTS,414,1,7002,591519,96.166763305664,16.834487915039,1000,0,MPT,Yankin
481,0.0,UMTS,414,1,7001,133015,96.151657104492,16.818008422852,1000,0,MPT,Bahan
481,0.0,UMTS,414,1,7001,132697,96.151657104492,16.818008422852,1000,0,MPT,Bahan
154,0.0,UMTS,414,1,7001,132785,96.165390014648,16.796035766602,1000,0,MPT,Bahan
154,0.0,UMTS,414,1,7001,133715,96.165390014648,16.796035766602,1000,0,MPT,Bahan
7982,0.0,UMTS,414,1,7002,591505,96.213455200195,16.818008422852,1000,0,MPT,Thingangyun
7982,0.0,UMTS,414,1,7002,591508,96.213455200195,16.818008422852,1000,0,MPT,Thingangyun
5761,0.0,GSM,414,1,301,13793,96.131057739258,16.962203979492,1000,0,MPT,Mingaladon
5144,0.0,UMTS,414,1,351,2041785,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
4906,0.0,UMTS,414,1,351,2041655,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
4906,0.0,UMTS,414,1,351,2041653,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
57,0.0,UMTS,414,1,7001,133643,96.127625,16.787109,1000,0,MPT,Ahlone
62,0.0,UMTS,414,1,7001,133646,96.126937866211,16.787796020508,1000,0,MPT,Ahlone
57,0.0,UMTS,414,1,7001,133648,96.127625,16.787109,1000,0,MPT,Ahlone
63,0.0,UMTS,414,1,7001,133645,96.128311157227,16.787796020508,1000,0,MPT,Ahlone
4633,0.0,UMTS,414,1,7002,591458,96.151657104492,16.844100952148,1000,0,MPT,Mayangone
4633,0.0,UMTS,414,1,7002,591459,96.151657104492,16.844100952148,1000,0,MPT,Mayangone
986,0.0,UMTS,414,1,7001,132630,96.142044067383,16.791915893555,1000,0,MPT,Dagon
986,0.0,UMTS,414,1,7001,132628,96.142044067383,16.791915893555,1000,0,MPT,Dagon
1010,0.0,UMTS,414,1,7001,132625,96.142044067383,16.79328918457,1000,0,MPT,Dagon
4503,0.0,UMTS,414,1,7001,134166,96.150283813477,16.774063110352,1000,0,MPT,Latha
4507,0.0,UMTS,414,1,7001,134163,96.151657104492,16.774063110352,1000,0,MPT,Latha
4504,0.0,UMTS,414,1,7001,132443,96.15097,16.774063,1000,0,MPT,Latha
4503,0.0,UMTS,414,1,7001,134160,96.150283813477,16.774063110352,1000,0,MPT,Latha
4504,0.0,UMTS,414,1,7001,132354,96.15097,16.774063,1000,0,MPT,Latha
4503,0.0,UMTS,414,1,7001,134169,96.150283813477,16.774063110352,1000,0,MPT,Latha
