candidate_id,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,adm4_pcode,population_2020,population_score,nearest_tower_id,nearest_tower_lat,nearest_tower_lon,nearest_tower_township,nearest_tower_networks,nearest_tower_radios,nearest_tower_cell_count,nearest_tower_recheck_km,elevation_m,elevation_score
88,Kyauktan,Yae Kyaw,16.70371221826232,96.36197719814275,1,5.911141873048485,0.2364456749219393,137.93506946611447,0.0733220551134957,0.3531662738581101,0.7211968808191223,0.0,0.4083708649022619,0.5916291350977381,48.06117752178243,MMR013024025,3609.0091279149055,0.6283892668302218,4214,16.686172485352,96.309585571289,Kyauktan,Ooredoo,UMTS,1,5.911141873048106,5.0,0.10810810810810811
89,Kyauktan,Kyar Kan,16.67360070280002,96.3693838312422,1,6.009376802835115,0.2403750721134046,137.23267653501728,0.0743084316905552,0.3337595447781458,0.7600400171970894,0.0,0.3977016156409873,0.6022983843590126,48.45698009218946,MMR013024026,1418.8696312308311,0.5568051956978147,4206,16.64095,96.324432,Kyauktan,Telenor,UMTS,1,6.009376802835633,5.0,0.10810810810810811
90,Kyauktan,Par Da Gyi,16.66124722720984,96.34506084628786,1,3.15015135356422,0.1260060541425688,137.95354041409632,0.0743187296928322,0.3536766159579003,0.7604455486301838,0.0,0.4146919558587428,0.5853080441412571,41.33998391067298,MMR013024027,3565.373917818069,0.6274563692737917,4206,16.64095,96.324432,Kyauktan,Telenor,UMTS,1,3.150151353564827,6.0,0.13513513513513514
91,Kyauktan,U Yin,16.602224254077704,96.41880068942508,1,10.355635264745697,0.4142254105898278,134.5083268901206,0.0771748754254552,0.2584872674859775,0.8729194868681973,0.0,0.3506521003933105,0.6493478996066895,59.59374312949001,MMR013024028,2284.1342841386795,0.5933096704003527,4199,16.633987426758,96.327438354492,Kyauktan,Ooredoo,UMTS,1,10.355635264747011,4.0,0.08108108108108109
92,Kyauktan,Shwe Pyauk,16.630847485207273,96.28166577984692,1,1.479943008143746,0.0591977203257498,139.75949347309682,0.0742701017440282,0.403574102386769,0.7585305984061957,0.0,0.456817576789683,0.543182423210317,36.69959956769975,MMR013024029,32946.78794300556,0.7980174023802639,4205,16.640853881836,96.272506713867,Kyauktan,MPT,UMTS,1,1.4799430081438347,5.0,0.10810810810810811
93,Kyauktan,Pan Taw,16.606834273442402,96.3595317348245,1,4.561726623635732,0.1824690649454292,136.7683366750577,0.0761480064163192,0.3209300906872742,0.8324817738366465,0.0,0.39766284315968,0.60233715684032,44.98320124933056,MMR013024030,7723.665385127068,0.6867452309309275,4199,16.633987426758,96.327438354492,Kyauktan,Ooredoo,UMTS,1,4.561726623635224,7.0,0.16216216216216217
94,Kyauktan,Ywar Thit Ka Lay,16.58440533156873,96.40507778838013,1,9.941706275477507,0.3976682510191003,134.8436292569848,0.0775146579327287,0.2677514868502579,0.8862999934372183,0.0,0.3605337628383019,0.639466237161698,58.45208861857149,MMR013024031,5096.624814867973,0.6548600818666661,4199,16.633987426758,96.327438354492,Kyauktan,Ooredoo,UMTS,1,9.941706275477298,1.0,0.0
95,Kyauktan,Mee Pya,16.55455816493147,96.33313599900151,1,8.57408774650699,0.3429635098602796,137.1750851816542,0.0773221136057588,0.3321683274657507,0.8787176706963521,0.0,0.4141507289503409,0.5858492710496591,54.365549657361655,MMR013024032,5424.770927906036,0.6596458243558961,4196,16.631240844727,96.324691772461,Kyauktan,Ooredoo,UMTS,1,8.57408774650709,5.0,0.10810810810810811
96,Kyauktan,Ka Mar Ka Loke,16.53268966561608,96.41539690023248,1,14.612601391938831,0.5845040556775534,133.95920880984676,0.0792751964173729,0.2433154379515627,0.9556293328073312,0.0,0.350162522179928,0.649837477820072,69.81780550795429,MMR013024033,5371.550013780594,0.6588896416188865,4196,16.631240844727,96.324691772461,Kyauktan,Ooredoo,UMTS,1,14.61260139194038,5.0,0.10810810810810811
97,Kyauktan,Kha Naung,16.595838278364987,96.51039633268913,1,18.85017339454335,0.7540069357817341,130.75212794255776,0.0787303729190593,0.1547055633735365,0.934174389594869,0.0,0.2716258873067364,0.7283741126932636,81.16602783730299,MMR013024034,5185.908272624016,0.6561920519655402,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,18.8501733945433,8.0,0.1891891891891892
98,Kyauktan,Sin Ma Kaw,16.634210668999973,96.50421719597936,1,14.7638683152223,0.590554732608892,131.42664840672234,0.0774420041736212,0.1733421915732049,0.8834389158944003,0.0,0.2798567002213842,0.7201432997786158,71.23543345321275,MMR013024035,1770.382830262184,0.5737736906536599,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,14.763868315221831,5.0,0.10810810810810811
99,Kyauktan,Pan Chaung,16.64094611992227,96.474423152033,1,15.081663422939943,0.6032665369175978,132.73850198547677,0.0768048752395959,0.2095879820251394,0.8583490195502793,0.0,0.3069021376539104,0.6930978623460895,71.59246015024722,MMR013024036,1436.491234540939,0.5577513957711567,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,15.081663422939526,5.0,0.10810810810810811
